,genres,ID,title,vote_average,vote_count,releasedate,director_gender,prod_countries
189,"Romance, Adventure, War",488,The African Queen,7.4,232.0,1951,male,United Kingdom
190,"Comedy, Action, Drama, Crime, Romance, Adventure",22733,Beat the Devil,6.2,31.0,1953,male,United States of America
191,"Drama, Romance",57575,The Last Time I Saw Paris,5.1,9.0,1954,male,United States of America
192,"Comedy, Drama, Romance",85328,The Pompatus of Love,5.3,2.0,1996,male,United States of America
193,Drama,890,Brother of Sleep,6.8,6.0,1995,male,Austria
194,"Adventure, Family",18444,Swiss Family Robinson,7.0,88.0,1960,male,Trinidad and Tobago
195,"Drama, Romance",48862,Unhook the Stars,6.2,11.0,1996,male,France
196,"Drama, Thriller",47199,The Secret Agent,5.0,7.0,1996,male,United Kingdom
197,Drama,11159,Secrets & Lies,7.1,127.0,1996,male,United Kingdom
198,Adventure,10586,The Ghost and the Darkness,6.4,238.0,1996,male,Germany
199,"Drama, Romance",25147,Jude,6.6,38.0,1996,male,United Kingdom
200,"Drama, Romance",43777,Bitter Sugar,6.3,3.0,1996,male,United States of America
201,Mystery,27256,The Woman in Question,5.2,3.0,1952,male,United Kingdom
202,"Action, Drama, Romance, War",37218,For the Moment,7.4,3.0,1993,male,Canada
203,Horror,16372,The Innocents,7.5,126.0,1961,male,United Kingdom
204,"Comedy, Crime",623,A Fish Called Wanda,7.1,576.0,1988,male,United Kingdom
205,Comedy,583,Life of Brian,7.7,1230.0,1979,male,United Kingdom
206,"Comedy, Romance, Music",12614,Victor/Victoria,6.9,89.0,1982,male,United Kingdom
207,"Action, Drama, War",792,Platoon,7.5,1236.0,1986,male,United Kingdom
208,"Drama, Romance",15764,Sophie's Choice,7.4,149.0,1982,male,United Kingdom
209,Drama,102461,A Single Girl,6.8,8.0,1995,male,France
210,Drama,36998,The Eighth Day,7.0,56.0,1996,male,France
211,"Comedy, Fantasy, Family",10379,Drop Dead Fred,5.9,107.0,1991,male,United Kingdom
212,"Comedy, Adventure, Fantasy",762,Monty Python and the Holy Grail,7.8,1742.0,1975,male,United Kingdom
213,"Drama, Romance",44497,Hustler White,6.8,12.0,1996,male,Canada
214,"Comedy, Crime",55049,Three Lives and Only One Death,8.0,5.0,1996,male,Portugal
215,Documentary,104931,JLG/JLG: Self-Portrait in December,7.7,3.0,1995,male,France
216,"Drama, Fantasy, Animation",18919,Faust,7.4,22.0,1994,male,Czech Republic
217,Drama,61461,The Children Are Watching Us,7.2,11.0,1944,male,Italy
218,Drama,117500,Pastoral Symphony,4.7,3.0,1946,male,France
219,"Drama, History, War",659,The Tin Drum,7.0,93.0,1979,male,Germany
220,"Comedy, Drama",30892,The Ruling Class,6.8,29.0,1972,male,United Kingdom
221,"Comedy, Drama",8074,2 or 3 Things I Know About Her,7.0,33.0,1967,male,France
222,Documentary,41326,American Dream,6.0,2.0,1990,female,United Kingdom
223,"Comedy, Drama",10608,Bob Roberts,6.5,44.0,1992,male,United Kingdom
224,"Drama, Crime",7452,"The Cook, the Thief, His Wife & Her Lover",7.3,137.0,1989,male,United Kingdom
225,"Comedy, Fantasy, Science Fiction",892,Delicatessen,7.4,320.0,1991,male,France
226,"Drama, Thriller",1600,The Double Life of Veronique,7.3,154.0,1991,male,France
227,"Drama, Romance",26561,Enchanted April,6.9,25.0,1991,male,United Kingdom
228,"Drama, Romance, War",409,The English Patient,7.0,559.0,1996,male,United Kingdom
229,Drama,10161,My Left Foot: The Story of Christy Brown,7.5,208.0,1989,male,Ireland
230,"Comedy, Drama, Romance",10409,Strictly Ballroom,6.2,83.0,1992,male,Australia
231,"Comedy, Drama, Crime, Romance",2469,Tie Me Up! Tie Me Down!,7.0,102.0,1989,male,Spain
232,"Comedy, Science Fiction",68,Brazil,7.6,877.0,1985,male,United Kingdom
233,"Drama, Adventure, History, War",947,Lawrence of Arabia,7.8,870.0,1962,male,United Kingdom
234,"Drama, Science Fiction",185,A Clockwork Orange,8.0,3432.0,1971,male,United Kingdom
235,Western,335,Once Upon a Time in the West,8.1,1160.0,1968,male,Italy
236,"Drama, Romance, Fantasy",144,Wings of Desire,7.5,256.0,1987,male,Germany
237,"Thriller, Mystery",1092,The Third Man,7.9,431.0,1949,male,United Kingdom
238,"Drama, Romance, Adventure",175,The Big Blue,7.6,364.0,1988,male,France
239,"Action, Drama, History",11645,Ran,7.9,349.0,1985,male,Japan
240,"Action, Drama, Crime, Thriller",10835,The Killer,7.6,179.0,1989,male,Hong Kong
241,"Drama, War",600,Full Metal Jacket,7.9,2595.0,1987,male,United Kingdom
242,"Action, Drama, Romance, History, War",10705,Henry V,7.4,73.0,1989,male,United Kingdom
243,"Drama, Crime",311,Once Upon a Time in America,8.3,1104.0,1984,male,United States of America
244,"Drama, Thriller, Science Fiction",1398,Stalker,7.8,356.0,1979,male,Russia
245,"Action, Drama, Adventure, History, War",387,Das Boot,7.9,623.0,1981,male,Germany
246,"Comedy, Drama",37291,Trust,6.5,24.0,1990,male,United Kingdom
247,"Drama, Fantasy",490,The Seventh Seal,7.9,569.0,1957,male,Sweden
248,"Comedy, Drama",11235,Local Hero,7.0,81.0,1983,male,United Kingdom
249,"Comedy, Horror",763,Braindead,7.4,388.0,1992,male,New Zealand
250,"Comedy, Drama",18971,Rosencrantz & Guildenstern Are Dead,7.3,75.0,1991,male,United Kingdom
251,"Action, Thriller",9322,La Femme Nikita,7.0,511.0,1990,male,France
252,"Drama, History, War",826,The Bridge on the River Kwai,7.7,554.0,1957,male,United Kingdom
253,"Drama, Fantasy",422,8½,7.9,427.0,1963,male,Italy
254,"Comedy, Action, Science Fiction, Horror",9964,Bad Taste,6.4,196.0,1987,male,New Zealand
255,"Thriller, Horror",694,The Shining,8.1,3890.0,1980,male,United States of America
256,"Action, Drama, Crime, Thriller",832,M,8.0,465.0,1931,male,Germany
257,"Drama, War",11778,The Deer Hunter,7.8,943.0,1978,male,United Kingdom
258,"Action, Drama, Thriller, Music",4485,Diva,6.7,37.0,1981,male,France
259,"Drama, Music",8428,Pump up the Volume,7.0,86.0,1990,male,Canada
260,"Science Fiction, Animation",149,Akira,7.8,792.0,1988,male,Japan
261,"Comedy, Drama, Romance, History",11673,Cyrano de Bergerac,6.8,131.0,1990,male,France
262,Drama,10404,Raise the Red Lantern,7.8,139.0,1991,male,China
263,"Drama, History",783,Gandhi,7.4,730.0,1982,male,India
264,"Drama, Romance",11257,A Room with a View,6.9,164.0,1985,male,United Kingdom
265,Music,12104,Pink Floyd: The Wall,7.7,363.0,1982,male,United Kingdom
266,"Comedy, Drama",8816,My Life as a Dog,7.3,70.0,1985,male,Sweden
267,"Drama, Adventure",983,The Man Who Would Be King,7.6,148.0,1975,male,United States of America
268,Drama,655,"Paris, Texas",7.7,282.0,1984,male,Germany
269,"Action, Drama, Thriller, Science Fiction",10341,Until the End of the World,6.3,45.0,1991,male,Australia
270,"Drama, Romance",41801,Female Perversions,5.4,10.0,1996,female,Germany
271,"Comedy, Horror",814,An American Werewolf in London,7.2,571.0,1981,male,United Kingdom
