Position,Name,Year,URL
376,Jane B. by Agnès V.,1988,https://boxd.it/xxw
377,Documenteur,1981,https://boxd.it/4VAs
378,Lions Love,1969,https://boxd.it/988
379,Kung-Fu Master!,1988,https://boxd.it/KKI
380,Far from Vietnam,1967,https://boxd.it/1beO
381,Daguerréotypes,1975,https://boxd.it/FxY
382,Along the Coast,1958,https://boxd.it/7298
383,The Young Girls Turn 25,1993,https://boxd.it/61IY
384,The World of Jacques Demy,1995,https://boxd.it/61eE
385,One Hundred and One Nights,1995,https://boxd.it/3iuI
386,The Gleaners and I: Two Years Later,2002,https://boxd.it/2Xok
387,Agnès Varda: From Here to There,2011,https://boxd.it/6AG4
388,Elsa the Rose,1966,https://boxd.it/5Eio
389,Nausicaa,1971,https://boxd.it/ax9E
390,Cinévardaphoto,2004,https://boxd.it/48KI
391,"Ydessa, the Bears and etc.",2004,https://boxd.it/8LhS
392,"Vagabond: Remembrances, Interviews, Notes and Comments",2003,https://boxd.it/iwR2
393,Quelques veuves de Noirmoutier,2006,https://boxd.it/ax9Y
394,Detroit,2017,https://boxd.it/el3C
395,Near Dark,1987,https://boxd.it/1SRO
396,Strange Days,1995,https://boxd.it/2aGO
397,Blue Steel,1990,https://boxd.it/1YxU
398,K-19: The Widowmaker,2002,https://boxd.it/1ZYs
399,The Loveless,1981,https://boxd.it/19JA
400,The Weight of Water,2000,https://boxd.it/1PYM
401,I Do... Until I Don't,2017,https://boxd.it/dQaW
402,Transparent: Musicale Finale,2019,https://boxd.it/mYeU
403,Valencia,2013,https://boxd.it/7qv8
404,A Way of Life,2004,https://boxd.it/3I3S
405,Stray Dog,2014,https://boxd.it/8sky
406,The Nightingale,2018,https://boxd.it/e1Ga
407,Frozen II,2019,https://boxd.it/aPvo
408,Æon Flux,2005,https://boxd.it/20vc
409,Girlfight,2000,https://boxd.it/1FfM
410,The Rosa Parks Story,2002,https://boxd.it/FAe
411,Love Song,2000,https://boxd.it/6zo4
412,Incognito,1999,https://boxd.it/dOP4
413,Funny Valentines,1999,https://boxd.it/8euO
414,The Decline of Western Civilization,1981,https://boxd.it/1Com
415,Black Sheep,1996,https://boxd.it/1OXe
416,The Decline of Western Civilization Part II: The Metal Years,1988,https://boxd.it/19Xs
417,Suburbia,1983,https://boxd.it/1qmo
418,The Beverly Hillbillies,1993,https://boxd.it/1UMQ
419,Dudes,1987,https://boxd.it/1tBQ
420,The Boys Next Door,1985,https://boxd.it/1AKq
421,Senseless,1998,https://boxd.it/1RLg
422,Hollywood Vice Squad,1986,https://boxd.it/3wBo
423,Halloweentown II: Kalabar's Revenge,2001,https://boxd.it/1e98
424,Pet Sematary II,1992,https://boxd.it/1V6Q
425,Urban Legends: Bloody Mary,2005,https://boxd.it/1WCe
426,Siesta,1987,https://boxd.it/XX6
427,Strange Frequency,2001,https://boxd.it/63sy
