genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
Drama,126596,English,It's 1875 and a young street urchin wants to see Queen Victoria...,0.942526,"United Kingdom, United States of America",The Mudlark,6.0,3.0,1950,Jean Negulesco
"Drama, Science Fiction",62215,Danish,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,8.124767,"Germany, France, Denmark, Sweden, Sweden",Melancholia,7.0,915.0,2011,Lars von Trier
Drama,12221,Portuguese,"After breaking up with her boyfriend, a woman named Odete (Ana Cristina De Oliveira) descends into madness and claims to be pregnant with the child of Rui's (Nuno Gil) late lover, Pedro (João Carreira). As grief-stricken Rui mourns Pedro's death, Odete tries to transform herself into Pedro.",1.636544,Portugal,Two Drifters,5.9,7.0,2005,João Pedro Rodrigues
"Action, Drama, History, War",47904,French,"After losing their family home in Algeria in the 1920s, three brothers and their mother are scattered across the globe. Messaoud joins the French army fighting in Indochina; Abdelkader becomes a leader of the Algerian independence movement in France and Saïd moves to Paris to make his fortune in the shady clubs and boxing halls of Pigalle.",1.170864,"France, Belgium, Algeria",Outside the Law,6.5,20.0,2010,Rachid Bouchareb
Unknown,140101,French,"Raul Ruiz's Love Torn in a Dream is introduced with a fake newsreel, taking place in postwar France, in which the cast of the film meet with the producer, who explains the film's complex weave of nine narratives. A diagram in which each story is represented by a letter of the alphabet explicates the intertwining of the nine tales. As the producer explains each actor's role, the film begins. The stories, rooted in folklore, bump up against each other as the film leaps back and forth in time.",0.663575,"France, Portugal, Chile",Love Torn in a Dream,9.0,3.0,2000,Raúl Ruiz
"Comedy, Drama",72026,Japanese,"A corrupt businessman blackmails the lovelorn reprobate Atsushi into watching over his suitcase full of embezzled cash while he serves a jail sentence. Rather than wait for the man to retrieve his money, however, Atsushi decides to spend it all in one libidinous rush—fully expecting to be tracked down and killed.",1.029596,Japan,Pleasures of the Flesh,6.0,5.0,1965,Nagisa Ōshima
"Comedy, Drama",77124,Japanese,Four sexually hungry high school students preparing for their university entrance exams meet up with an inebriated teacher singing bawdy drinking songs. This encounter sets them on a less than academic path.,0.775235,Japan,Sing a Song of Sex,5.0,2.0,1967,Nagisa Ōshima
Drama,12078,Czech,"Set in the late 1940s, the film concerns the treatment of suspect ""bourgeois elements"", a professor, a saxophonist, and a milkman, who are put to work in a junkyard for rehabilitation.",0.000431,Czech Republic,Larks on a String,6.8,7.0,1990,Jiří Menzel
Drama,76816,Portuguese,"A personal vision of contemporary Brazil and its evolution, with a number of archetypes which recall some of Glauber Rocha's previous films : the Indian, the Colonizer, the Nordeste man, the Worker, the Amazon, the Bourgeois and a black Christ bringing new revolutionary hope for the Third World.",0.63143,Brazil,The Age of the Earth,5.0,2.0,1980,Glauber Rocha
Drama,51520,Chinese,"Blind Mountain follows a young woman, Bai Xuemei, in the early 1990s who recently graduated from college and attempts to find work to help pay for her brother's education. In the process, she is drugged, kidnapped and sold as a bride to a villager in the Qinling Mountains of China's Shaanxi province. Trapped in the fiercely traditional town, the young woman finds that her avenues of escape are all blocked. As she searches for allies, including a young boy, a school teacher and a mailman, she suffers from being raped by her ""husband"" and continued beatings at the hands of the villagers, her husband, and her husbands' parents.",0.772501,China,Blind Mountain,7.4,11.0,2007,Li Yang
Drama,8904,Tagalog,"A struggling family (Gina Pareño, Jaclyn Jose, Coco Martin) owns a Filipino porn theater where prostitutes conduct their business.",0.744425,Philippines,Service,5.8,3.0,2008,Brillante Mendoza
"Drama, Crime, Foreign",48515,Japanese,"A sex-obsessed young woman, a suicidal young man she meets on the street, a gun-crazy wannabe gangster—these are just three of the irrational, oddball anarchists trapped in an underground hideaway in Oshima’s devilish, absurdist portrait of what he deemed the “death drive” in Japanese youth culture.",0.484749,Japan,Japanese Summer: Double Suicide,4.7,3.0,1967,Nagisa Ōshima
"Drama, Thriller",43817,English,"Deep in the heart of the Appalachian Mountains in West Virginia, where every man owns a gun and a moonshine still, abides living legend Jesco White, ""the dancing outlaw"". As a boy Jesco was in and out of reform school and the insane asylum. To keep him out of trouble, his daddy D-Ray taught him the art of mountain dancing, a frenzied version of tap dancing to wild country banjo music. After his father's death, crazy Jesco dons his father's tap shoes and takes his show on the road.",2.072948,United Kingdom,White Lightnin',7.3,17.0,2009,Dominic Murphy
"Drama, Thriller, Foreign, Mystery",35619,English,"Hannah Maynard, a prosecutor of Hague's Tribunal for war crimes in former Yugoslavia, charges a Serbian commander for killing Bosniaks. However, her main witness might be lying, so the court sends a team to Bosnia to investigate",0.983842,"Germany, Denmark, Sweden, Sweden, Netherlands, Bosnia and Herzegovina",Storm,6.9,10.0,2009,Hans-Christian Schmid
"Action, Drama, Adventure, Thriller",62255,English,"An ex-Boer war guerrilla in New Zealand is sent out to bring back a Maori accused of killing a British soldier. Gradually they grow to know and respect one another but a posse, led by the British Commanding officer is close behind and his sole intention is to see the Maori hang. Written by Filmfinders 1903. A guerilla fighter from the South African Boer war called Arjan (Winstone) takes on a manhunt for Maori seaman Kereama (Morrison), who is accused of murdering a British soldier. What follows is a cat and mouse pursuit through the varied landscape of NZ with both hunter and huntee testing their bushcraft and wits against that of the other. Written by Anonymous",7.12869,"United Kingdom, New Zealand",Tracker,6.0,18.0,2010,Ian Sharp
"Comedy, Drama, Thriller",44555,Chinese,"Wang is a gloomy, cunning and avaricious noodle shop owner in a desert town in China. His neglected, sharp-tongued wife is involved in a secret affair with Li, one of Wang’s employees. A timid man, Li reluctantly keeps the gun his lover has bought to kill her husband. But Wang is watching their every move. He bribes patrol officer Zhang to murder the illicit couple. It seems like a perfect plan: the affair will come to a cruel, bloody but satisfying end… or so he thinks. The equally wicked Zhang has an agenda of his own. As the plot twists, more blood will flow, and ever greater violence will erupt…",1.352447,China,"A Woman, a Gun and a Noodle Shop",4.8,13.0,2009,Zhang Yimou
Drama,54083,French,"A symphony in three movements. Things such as a Mediterranean cruise, numerous conversations, in numerous languages, between the passengers, almost all of whom are on holiday... Our Europe. At night, a sister and her younger brother have summoned their parents to appear before the court of their childhood. The children demand serious explanations of the themes of Liberty, Equality and Fraternity. Our humanities. Visits to six sites of true or false myths: Egypt, Palestine, Odessa, Hellas, Naples and Barcelona.",1.992959,"France, Switzerland",Film Socialisme,6.9,17.0,2010,Jean-Luc Godard
Drama,57082,English,"Drama telling the story of Blue, a young man of Jamaican descent living in Brixton in 1980, as he hangs out with his friends, fronts a dub sound system, loses his job, struggles with family problems and has his friendships tested by racism.",0.168154,United Kingdom,Babylon,8.7,3.0,1980,Franco Rosso
"Drama, Romance",37041,English,"A WWII Coast Guard veteran, Lt. Scott Burnett (Robert Ryan), is plagued by nightmares of his combat days. One day, he meets a woman, Peggy Butler (Joan Bennett), walking on a beach, picking up pieces of wood. Butler is married to a grumpy, blind painter, Ted Butler (Charles Bickford). Despite his affections for his fiancée Eve (Nan Leslie), whose father is a boat builder, Scott falls in love with Peggy and soon breaks off the engagement. Peggy reveals that she blinded her husband years earlier by throwing a glass at him during an ugly spat, ruining his career and her own ambitions to be an upper-class socialite. Scott fears that Ted is suspicious that he is having an affair with Peggy and becomes so paranoid that he begins to believe that Ted is faking his blindness — and sets out to prove it. This was the fifth and final American film by the great French writer-director Jean Renoir.",1.422265,Germany,The Woman on the Beach,5.7,13.0,1947,Jean Renoir
