genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
"Drama, Romance, Science Fiction, Horror",3036,English,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",14.287753,"United Kingdom, United States of America, Japan",Mary Shelley's Frankenstein,6.1,272.0,1994,Kenneth Branagh
"Drama, Crime",8438,English,"Inspired by a true story. A petty criminal sent to Alcatraz in the 1930s is caught attempting to make an escape. As punishment he is put in solitary confinement. The maximum stay is supposed to be 19 days, but Henri spends years alone, cold and in complete darkness, only to emerge a madman and soon to be a murderer. The story follows a rookie lawyer attempting to prove that Alcatraz was to blame.",9.518564,"France, United States of America",Murder in the First,6.9,140.0,1995,Marc Rocco
Horror,56428,English,An experiment gone awry places a neurologist (Elizabeth Hurley) and a homicide detective (Craig Fairbrass) in a psychopath's (Keith Allen) nightmarish world.,0.426952,United Kingdom,Beyond Bedlam,4.0,4.0,1994,Vadim Jean
"Drama, Crime, Thriller",101,French,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,"France, United States of America",Leon: The Professional,8.2,4293.0,1994,Luc Besson
Drama,41478,English,Panther is a semi-historic film about the origins of The Black Panther Party for Self-Defense. The movie spans about 3 years (1966-68) of the Black Panther's history in Oakland. Panther also uses historical footage (B/W) to emphasize some points.,7.160149,"United Kingdom, United States of America",Panther,6.4,6.0,1995,Mario Van Peebles
"Comedy, Drama",25296,Chinese,"The story is about an elderly Chinese tai chi chuan teacher and grandfather who emigrates from Beijing to live with his son, American daughter-in-law, and grandson in a New York City suburb. The grandfather is increasingly distanced from the family as a ""fish out of water"" in Western culture.",1.638622,Taiwan,Pushing Hands,6.1,9.0,1992,Ang Lee
"Drama, History",10452,French,"The night of August 24, 1572, is known as the Massacre of St. Bartholomew. In France a religious war is raging. In order to impose peace a forced wedding is arranged between Margot de Valois, sister of the immature Catholic King Charles IX, and the Hugenot King Henri of Navarre. Catherine of Medici maintains her behind-the-scenes power by ordering assaults, poisonings, and instigations to incest.",4.405405,"Germany, France, Italy",Queen Margot,7.0,67.0,1994,Patrice Chéreau
"Action, Western",12106,English,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",7.54701,"United States of America, Japan",The Quick and the Dead,6.2,431.0,1995,Sam Raimi
Drama,159185,Chinese,"A woman inherits her father's fireworks factory, as he had no son. The business does well and everything works in an orderly fashion until one day, an itinerant painter is hired to decorate the doors and vases at the factory. The woman, forbidden to marry and thereby involve outsiders in the factory ownership, finds herself drawn to the headstrong painter. When they fall in love, the situation throws her entire life into disarray",0.078257,"China, Hong Kong","Red Firecracker, Green Firecracker",7.0,2.0,1994,He Ping
"Drama, Horror",92769,English,"Linda and Peter Pratman's son Adam is autistic, but they still love him and hope that he'll at least start talking some day. However he's teased and abused by the kids of the neighborhood and his grandpa . When several people around Adam die an unexpected death, his parents start to suspect Adam - is he just simulating to be so ignorant about his environment?",0.499601,Canada,Relative Fear,4.7,3.0,1995,George Mihalka
