,userId,nbFollowers,nbFollowings,nbFavorites,nbSocialMediaAcc
667,312565007,351.0,266,0,0
668,436186479,55.0,85,0,0
669,348559329,4056.0,3991,3,0
670,393408454,235.0,202,0,0
671,334869587,236.0,425,0,0
672,246368252,5268.0,4090,0,0
673,395405975,179.0,91,0,0
674,309236067,1944.0,24,4,1
675,292780473,2053.0,2247,0,0
676,439053658,17202.0,316,188,1
677,238524133,306.0,56,0,0
678,356347195,245.0,375,0,0
679,347173802,9083.0,4282,1,0
680,375045465,1408.0,637,1,0
681,377278671,182.0,324,0,0
682,354831566,152.0,251,0,0
683,433646372,3748.0,4263,0,0
684,382051426,126440.0,557,40,0
685,303423702,108101.0,1943,547,1
686,307534451,1150.0,627,0,0
687,231554857,329.0,369,0,0
688,315027487,2723.0,284,1311,0
689,248298681,247.0,281,0,0
690,310767323,1174.0,2388,0,0
691,326051515,155.0,270,0,0
692,387349721,175.0,479,0,0
693,321995655,204.0,130,0,0
694,387671865,92.0,50,0,0
695,354209951,10541.0,7570,58,0
696,291566488,183.0,365,0,0
697,255184864,268.0,135,0,0
698,439083775,32.0,85,0,0
699,338039947,616.0,277,0,0
700,332980839,1121.0,512,0,1
701,364386269,2535.0,1278,0,0
702,364386269,2535.0,1278,0,0
703,384856789,661.0,218,5,0
704,234331896,1071.0,752,0,0
705,290157011,225.0,398,1,0
706,267341824,425.0,484,0,0
707,334259734,337.0,498,0,0
708,380401397,99.0,517,0,0
709,350195422,70.0,496,0,0
710,375822671,1831.0,2971,0,0
711,368547245,750.0,339,0,0
712,366130924,118.0,106,0,0
713,269329659,102.0,477,0,0
714,248210333,25053.0,735,0,1
715,358655132,11.0,118,0,0
716,303911230,245.0,240,0,0
717,432572850,285.0,95,0,1
718,347947695,319.0,128,0,0
719,291303482,9377.0,9944,138,0
720,291303482,9377.0,9944,1,0
721,243195728,124.0,37,0,0
722,280104306,1731.0,1719,0,0
723,281112592,2286.0,4566,0,0
724,398203190,308.0,515,0,0
725,329287878,388.0,259,2,1
726,278732474,139.0,94,0,0
727,267283364,441.0,328,0,0
728,333335554,485.0,220,0,0
729,425241599,12.0,98,0,0
730,293048220,276.0,321,0,0
731,361603312,324.0,512,0,0
732,312940849,1903.0,233,0,0
733,361217818,521.0,499,0,0
734,288803214,165.0,352,0,0
735,423694327,157.0,278,0,0
736,335968226,155.0,144,0,0
737,409801440,704.0,2361,0,0
738,303752717,169.0,177,0,0
739,245085624,144.0,398,0,0
740,334077660,81.0,423,0,0
741,386611151,73.0,442,0,0
742,238658160,99007.0,76,19,1
743,322067673,7372.0,2923,267,1
744,356511292,477.0,892,0,0
745,274178003,500.0,697,0,0
746,409122446,580.0,881,0,0
747,251761723,174.0,560,0,0
748,375186723,27625.0,54,21,4
749,335379885,552.0,436,0,0
750,310777698,277.0,1444,0,0
751,353622838,9598.0,5368,35,1
752,325104705,592.0,1979,0,0
753,406898974,44.0,328,0,0
754,299277384,393.0,321,1,0
755,330489115,881.0,583,0,1
756,395997441,4194.0,604,0,0
757,311972530,7485.0,8175,0,0
758,270636441,14.0,100,0,0
759,376823890,214.0,278,0,0
760,438665946,975.0,2061,0,0
761,289145180,685.0,566,0,0
762,340928020,157.0,356,0,0
763,348840899,92.0,92,0,0
764,420147373,1550.0,1434,0,0
765,273597636,19.0,243,0,0
766,240471808,48.0,164,0,0
767,302634201,1683.0,1900,0,0
768,399574114,2220.0,347,11,0
769,264951851,18420.0,13822,97,1
770,360645629,104.0,195,0,0
771,313229965,237.0,303,0,0
772,368948189,1242778.0,5,98,1
773,325767871,448.0,603,0,0
774,434130930,321.0,102,0,0
775,350931035,261.0,163,0,0
776,427219908,265.0,309,0,0
777,390902092,0.0,24,0,0
778,275494188,380.0,170,0,0
779,335206744,449.0,436,0,0
780,302718579,267.0,226,0,0
781,327378138,66.0,165,0,0
782,249553482,169.0,249,0,0
783,438738884,437.0,156,0,0
784,326115344,1045.0,100,0,0
785,386801362,365.0,1103,1,0
786,279713788,428.0,304,1,0
787,291902145,226.0,227,0,0
788,350250551,1192.0,1020,0,0
789,420645962,36.0,160,0,0
790,430140668,47.0,51,0,0
791,420677390,360.0,670,3,0
792,242334981,122.0,552,0,0
793,425005311,94.0,936,0,0
794,251764729,237.0,3401,0,0
795,355314452,70.0,143,0,0
796,366528654,868.0,1352,0,0
797,442037189,507.0,1022,1,0
798,345936312,409.0,663,0,0
799,432011044,57.0,172,0,0
800,310540950,337.0,231,1,0
801,334060646,173.0,255,1,0
802,315696343,362.0,296,3,0
803,294701183,20094.0,19861,2,0
804,344760460,1043.0,2083,0,0
805,251100737,392.0,371,0,0
806,290088361,258.0,100,1,0
807,290088361,258.0,100,0,0
808,290088361,258.0,100,0,0
809,397835224,19237.0,497,0,0
