,userId,nbLetter,nbWords,nbEmojis,nbSlangWords,nbStatus,nbMentions,IsSelfTagged,nbHashtags,nbRetweets
3028,957591479920332800,190,37,0.0,0,14776,1,0.0,1,36.0
3029,971678367555694592,148,26,0.0,1,13310,0,0.0,0,404.0
3030,1060862090406227968,17,3,0.0,0,24,0,0.0,0,3.0
3031,1052892428569579520,14,2,0.0,0,96,0,0.0,0,3.0
3032,952530645410033664,52,10,0.0,0,1804,0,0.0,0,138.0
3033,952530645410033664,83,14,0.0,1,1804,0,0.0,0,211.0
3034,952530645410033664,173,27,0.0,1,1804,0,0.0,0,359.0
3035,958426142670811136,229,34,0.0,1,843,0,0.0,0,1.0
3036,1048644913976500224,19,3,0.0,0,615,0,0.0,0,1.0
3037,960922465441640448,116,20,0.0,0,206,0,0.0,0,1.0
3038,1056879184365142016,58,11,3.0,0,71314,0,0.0,0,1250.0
3039,1056879184365142016,20,3,0.0,0,71314,4,0.0,0,0.0
3040,1022060667409518592,58,9,0.0,1,956,0,0.0,0,3.0
3041,1047503868115001344,40,4,0.0,0,6282,0,0.0,1,293.0
3042,1038756580911669248,100,18,0.0,0,44,0,0.0,0,8.0
3043,976939386066685952,169,27,0.0,0,1878,0,0.0,0,158.0
3044,976939386066685952,56,11,0.0,0,1878,0,0.0,0,19.0
3045,976939386066685952,123,18,0.0,0,1878,0,0.0,0,42.0
3046,1055941742636253184,152,23,0.0,0,6084,0,0.0,0,422.0
3047,1009881453293948928,95,20,0.0,0,1359,0,0.0,0,146.0
3048,1009881453293948928,179,27,0.0,0,1359,0,0.0,0,122.0
3049,1009881453293948928,53,9,0.0,0,1359,0,0.0,0,7.0
3050,1009881453293948928,83,12,0.0,0,1359,0,0.0,0,153.0
3051,1009881453293948928,41,7,0.0,0,1359,0,0.0,1,143.0
3052,1009881453293948928,109,19,0.0,0,1359,0,0.0,0,118.0
3053,1009881453293948928,99,18,0.0,0,1359,0,0.0,0,160.0
3054,1009881453293948928,69,13,0.0,0,1359,0,0.0,0,111.0
3055,1009881453293948928,87,20,0.0,0,1359,0,0.0,0,120.0
3056,1009881453293948928,91,16,0.0,0,1359,0,0.0,0,78.0
3057,1009881453293948928,82,14,0.0,0,1359,0,0.0,1,119.0
3058,1009881453293948928,77,12,0.0,0,1359,0,0.0,0,133.0
3059,1009881453293948928,42,6,0.0,0,1359,0,0.0,0,40.0
3060,1009881453293948928,40,6,0.0,0,1359,0,0.0,0,28.0
3061,1009881453293948928,35,6,0.0,0,1359,0,0.0,0,180.0
3062,1068613864818962432,23,4,0.0,0,269,0,0.0,0,111.0
3063,1065181488214405120,26,4,0.0,0,393,0,0.0,0,100.0
3064,1011612262296096768,19,2,0.0,0,341,0,0.0,0,796.0
3065,1011612262296096768,25,5,0.0,0,341,0,0.0,0,379.0
3066,1040227989437538304,87,12,0.0,0,1657,0,0.0,0,28.0
3067,991178073914724352,36,5,0.0,0,713,0,0.0,0,13.0
3068,1045312470888452096,228,38,0.0,0,43,0,0.0,0,712.0
3069,946163626959925248,79,15,0.0,0,6081,0,0.0,0,37.0
3070,962783008087576576,75,11,2.0,0,1352,1,0.0,1,916.0
3071,1030451243817357312,177,33,0.0,0,1186,0,0.0,0,1600.0
3072,1057182468154056704,165,33,0.0,0,2128,0,0.0,0,25.0
3073,1027180814663122944,35,7,0.0,0,570,0,0.0,0,1076.0
3074,1060631314678902784,36,7,0.0,0,1039,0,0.0,0,1.0
3075,1066013437065613312,50,8,0.0,0,1093,0,0.0,0,12.0
3076,1031239446845382656,12,2,0.0,0,143,0,0.0,0,5.0
3077,992334034335387648,223,31,1.0,0,169,0,0.0,1,22.0
3078,992334034335387648,177,28,1.0,0,169,0,0.0,1,23.0
3079,992334034335387648,77,13,1.0,0,169,0,0.0,1,19.0
